id,title,shortText,detailText,sourceType,sourceId,imageSrc
Himenomochi,ヒメノモチ,新庄村の代表的な名産品。新庄村が誇るブランド米。,特徴：白さが際立ち、コシが強く、時間が経っても硬くなりにくいです。おいしい食べ方：お雑煮・焼き餅。伸びの良さと米の甘みをダイレクトに感じられます。冷めても美味しいのでお弁当のおこわにも最適です。買える場所：道の駅○○。,production,Himenomochi,hogehoge.jpg
Sarunashi,サルナシ,新庄村の代表的な特産物。幻のフルーツとも呼ばれる。,特徴：「ベビーキウイ」とも呼ばれ、皮ごと食べられます。非常に栄養価が高いのも特徴です。おいしい食べ方：生食・スムージー。完熟したものはそのままでも。酸味がある場合は、はちみつ漬けやジャムにすると風味が引き立ちます。買える場所：道の駅○○。,production,Sarunashi,hogehoge.jpg
ItalianTomato,イタリアントマト,新庄村の代表的な特産物。少し細長い唐辛子のような形をしている。,特徴：加熱することで旨味（グアニル酸）が劇的に増す、調理用トマト。おいしい食べ方：自家製トマトソース。ざく切りにしてオリーブオイルと煮込むだけで濃厚なソースに。カレーや煮込み料理の隠し味にも最適です。買える場所：道の駅○○。,production,ItalianTomato,hogehoge.jpg
Yamabuki,やまぶき,新庄村でとれる代表的な山菜。茎が細く、シュッとしている。,特徴：野生種ならではの力強い香りと、心地よい苦味が特徴です。おいしい食べ方：佃煮（きゃらぶき）。醤油と砂糖でじっくり炊き上げます。アク抜きをしてから油炒めにしても、山の香りが引き立ちます。買える場所：道の駅○○。,production,Yamabuki,hogehoge.jpg
Genbokishiitake,原木シイタケ,新庄村でとれる代表的な野菜。アワビのようなずっしりとした歯ごたえ。,特徴：菌床栽培に比べて身が厚く、香りが非常に芳醇です。おいし食べ方：網焼き・ステーキ。傘の内側に塩を少し振り、水分が出てきたところをガブリ。バター醤油でステーキにするのも贅沢です。買える場所：道の駅○○。,production,Genbokishiitake,hogehoge.jpg
ShinjoRakkyou,新庄らっきょう,新庄村の代表的な特産品。一般的ならっきょうに比べて一粒が小さい。,特徴：厳しい冬を越えるため、実がギュッと締まっており、シャキシャキ感が強いです。おいしい食べ方：甘酢漬け・天ぷら。定番の漬物は外せないが、生のまま天ぷらにすると、ホクホクとした甘みと香りが楽しめます。買える場所：道の駅○○。,production,ShinjoRakkyou,hogehoge.jpg
Sakuraya,咲蔵家,"村の縁がわ"として訪れる誰もが親しみやすく、集い、くつろげ、 働ける交流拠点。,江戸〜明治期の面影を残す建物内で、囲炉裏を囲みながらゆっくりと休憩できます。キッズスペースとしても活用され、施設内にはフリーPCスペースも完備。カフェが隣接されている構造。マンホールカードを配布しており、お目当てで訪問する方も多数。,production,Sakuraya,hogehoge.jpg
Michinoekigaisensakurashinjosyuku,道の駅がいせんさくら新庄宿,新庄村の豊かな山の幸を宿場町の情緒とともに丸ごと味わえるグルメ拠点。,「ヒメノモチ」の加工品や、話題のクロモジ茶、新鮮な高原野菜が揃っています。 餅をアレンジしたユニークなメニューや、クロモジの香りを活かしたソフトクリームが人気です。,production,Michinoekigaisensakurashinjosyuku,hogehoge.jpg
Wakihonjinkishirotei,脇本陣木代邸,江戸時代の宿場町の面影を今に伝える貴重な歴史的建造物。,江戸時代、参勤交代の際に大名や幕臣が宿泊した「脇本陣」を務めた建物です。 江戸時代後期の様式を色濃く残しており、村の重要文化財に指定されています。どっしりとした構えは、当時の宿場町の繁栄を今に伝えています。,production,Wakihonjinkishirotei,hogehoge.jpg
Miyukibashi,御幸橋,「がいせん桜通り」の入り口（東端）に架かる橋。,明治天皇の行幸（ぎょうこう）にちなんで名付けられたとされています。橋の上からは、左右に広がるがいせん桜の並木と、その間を流れる新庄川の清流を一望できます。特に桜のシーズンには、並木全体を見渡せる絶好の撮影ポイントとなります。,production,Miyukibashi,hogehoge.jpg
Mochidukisenbei,餅月せんべい,ヒメノモチを100%使用。最高賞を受賞したこともある本格せんべい。,新庄村自慢のもち米「ヒメノモチ」を100%使用して作られた、贅沢な本格おかき・お煎餅です。村内の加工施設で丁寧に製造されており、素材の良さをダイレクトに感じられるのが特徴です。,production,Mochidukisenbei,hogehoge.jpg
Shinjomiso,新庄みそ,毎日の味噌汁に欠かせない、深みのある天然醸造味噌。,旭川源流の清らかな水と、国産大豆、そして村産の米で作った米麹を使用しています。まろやかな甘みと、大豆の力強い旨味が特徴。お味噌汁にすると、立ち上がる香りの良さに驚きます。,production,Shinjomiso,hogehoge.jpg
Sarunashijamu,サルナシジャム,キウイのような爽やかな酸味とプチプチ食感。,余計な保存料を使わず、砂糖とレモン果汁などでシンプルに仕上げられており、素材本来のパワーをそのまま味わえます。完熟した実を丁寧に炊き上げているため、見た目も美しい鮮やかな緑色。食卓を華やかに彩ります。,production,Sarunashijamu,hogehoge.jpg
Kasuduke,かす漬け,白ウリなどを酒粕でじっくり漬け込んだ伝統の味。,新庄村の冷涼な気候の中で時間をかけて熟成させるため、角が取れたまろやかな風味と、深いコクが生まれます。じっくり漬かっていても、野菜本来の歯ごたえがしっかり残っているのが特徴です。,production,Kasuduke,hogehoge.jpg
MochigomesyoutyuHaru,もち米焼酎 陽 HARU,岡山県新庄村産の最高級もち米「ヒメノモチ」を100%使用。,もち米由来の「ほのかな甘み」と、上品でふくよかな香りが特徴です。ガツンとくるアルコールの強さよりも、まろやかで優しい口当たりが際立ちます。,production,MochigomesyoutyuHaru,hogehoge.jpg
